book,author,year,publisher
"The Privilege of Youth: A Teenager\'s Story of Longing for Acceptance and Friendship","Dave Pelzer","2004","Dutton Books"
"God Calling","A. J. Russell","1993","Jove Books"
"Blood Games","Chelsea Quinn Yarbro","2004","Aspect"
"The Hanging Garden","Ian Rankin","1999","St. Martin\'s Minotaur"
"Dragon\'s Kin","Anne McCaffrey","2003","Del Rey"
"Land of the Living","Nicci French","2004","Warner Vision"
"Mr. Perfect","Linda Howard","2003","Pocket Star"
"Innocent Blood","P. D. James","1982","Warner Books"
"Courting Trouble","Lisa Scottoline","2003","HarperTorch"
"Women\'s History of the World","Rosalind Miles","1990","Harpercollins"
"Mutts Sundays","Patrick McDonnell","1999","Andrews McMeel Publishing"
"Freud for Beginners","Richard Appignanesi","1990","Pantheon Books"
"You Cannot Be Serious","John McEnroe","2003","Berkley Publishing Group"
"Dude, Where\'s My Country?","Michael Moore","2004","Warner Books"
"Cock and Bull","Will Self","0","Penguin Putnam~trade"
"Lautloses Duell.","Jeffery Deaver","2002","Goldmann"
"Das Tagebuch Der Bridget Jones","Helen Fielding","2000","Wilhelm Goldmann Verlag, GmbH"
"Che Guevara: A Revolutionary Life","Jon Lee Anderson","1998","Grove/Atlantic"
"Four Past Midnight","Stephen King","2001","Signet Book"
"Help Yourself: Celebrating the Rewards of Resilience and Gratitude","David J. Pelzer","1900","E P Dutton"
"Rush Limbaugh Is a Big Fat Idiot: And Other Observations","Al Franken","1996","Island"
"Braided Lives","Marge Piercy","1990","Fawcett Books"
"When Joy Came to Stay","Karen Kingsbury","2000","Multnomah Publishers"
"A House in Sicily","Daphne Phelps","1999","Carroll &amp; Graf Publishers"
"Just Another Kid","Torey Hayden","1989","Avon"
"Hotel New Hampshire","John Irving","1986","Pocket"
"Scenes for Young Actors","Lorraine Cohen","1990","Avon"
"The Sands of Time","Sidney Sheldon","1988","William Morrow &amp; Company"
"Transfer of Power","Vince Flynn","2000","Pocket Star"
"Duplicate Keys","Jane Smiley","1993","Ballantine Books"
"The Frugal Gourmet Cooks American","Jeff Smith","1987","Harpercollins"
"In einer kleinen Stadt. Needful Things. Roman.","Stephen King","2003","Ullstein Tb"
"Uncool. Oder die Kunst erwachsen zu werden.","Dan Zevin","2003","Heyne"
"Night Gardening","E. L. Swann","2000","Hyperion"
"The French Mathematician","Tom Petsinis","2000","Berkley Publishing Group"
"Daughter of the Game","Tracy Grant","2003","HarperTorch"
"Bloomability","Sharon Creech","1998","Joanna Cotler"
"Night Swimming","Laura Moore","2003","Ivy Books"
"Lost Highways","Curtiss Matlock","1999","Mira"
"Vital Signs","Robin Cook","1991","Putnam Pub Group"
"Shadow Lover","Hope C. Clarke","1999","New Hope Books"
"Greenwich Killing Time","Kinky Friedman","1987","Berkley Pub Group"
"The Apocalypse Troll","David Weber","2000","Baen"
"Sights Unseen","Kaye Gibbons","1996","Avon"
"The Simeon Chamber","Steven Paul Martini","1995","Jove Books"
"In the Fifth at Malory Towers","Enid Blyton","1995","Egmont Childrens Books"
"High Society","Ben Elton","2003","Bantam Press, Ltd."
"Don\'t Look Behind You","Lois Duncan","1990","Laure Leaf"
"Accordion Crimes","E. Annie Proulx","1996","Scribner Book Company"
"Almas Gemelas","Deepak Chopra","2002","Ediciones B"
"Dancing at Midnight","Julia Quinn","2002","Avon"
"Die Letzten ihrer Art. Eine Reise zu den aussterbenden Tieren unserer Erde.","Douglas Adams","1992","Heyne"
"A Year in Provence","Peter Mayle","1990","Alfred A. Knopf"
"Wild and Wicked","Lisa Jackson","2002","Signet Book"
"Saga Pliocene #04: Adversary","Julian May","1985","Del Rey Books"
"Geeks: How Two Lost Boys Rode the Internet Out of Idaho","Jon Katz","2001","Broadway Books"
"The Crush","Sandra Brown","2002","Warner Books"
"Fade to Black","Wendy Corsi Staub","1999","Pinnacle Books"
"Not Fade Away","Laurence Shames","2003","Rodale Books"
"Dave Barry\'s Greatest Hits","Dave Barry","1994","Audio Literature"
"The Girl Death Left Behind","Lurlene McDaniel","1999","Starfire"
"The Complete Bartender","Robyn M. Feller","1995","Berkley Publishing Group"
"Annie on My Mind","Nancy Garden","1982","Farrar Straus &amp; Giroux"
"Mrs. Mike","Benedict Freedman","2002","Berkley Publishing Group"
"My Utmost for His Highest, Promotional Edition","Oswald Chambers","1987","Barbour Publishing"
"Stitches in Time","Barbara Michaels","1999","HarperTorch"
"He, She and It","Marge Piercy","1993","Fawcett Books"
"Belle Du Seigneur","Albert Cohen","2000","Distribooks Int\'l+inc"
"P. S. I Love You","Barbara Conklin","1981","Bantam Books"
"The Distant Land of My Father","Bo Caldwell","2001","Chronicle Books"
"Calculating God","Robert J. Sawyer","2000","Tor Books"
"Lion in the Valley","Elizabeth Peters","1990","Tor Books (Mm)"
"In the Country of the Young","Lisa Carey","2000","William Morrow"
"Aphrodite\'s Secret","Julie Kenner","2003","Love Spell"
"You\'ll Never Eat Lunch in This Town Again","Julia Phillips","1991","Random House Inc"
"The Life of David Gale","Dewey Gram","2003","Onyx Books"
"The Inheritors","Ford Madox Ford","1985","Carroll &amp; Graf"
"Dark Forces: New Stories of Suspense and Supernatural Horror","Kirby McCauley","1989","Signet Book"
"Book Lust: Recommended Reading for Every Mood, Moment, and Reason","Nancy Pearl","2003","Sasquatch Books"
"What Every Mom Needs","Elisa Morgan","1995","Zondervan"
"The Falling Woman","Pat Murphy","1987","Tor Books"
"Restoree","Anne McCaffrey","1977","Not Avail"
"The Joy Luck Club","Amy Tan","1994","Prentice Hall (K-12)"
"Love, Remember Me","Bertrice Small","1996","Ivy Books"
"The Crush","Sandra Brown","2003","Warner Books"
"The Second Coming of Curly Red","Jody Seay","1999","Firebrand Books"
"Sadako and the Thousand Paper Cranes","Eleanor Coerr","1979","Yearling"
"The Murder of Roger Ackroyd","Agatha Christie","1983","Pocket"
"Children of the Lion","Peter Danielson","1991","Bantam Books"
"The Moviegoer","Walker Percy","1998","Vintage Books USA"
"L.A. Dead","Stuart Woods","2000","G. P. Putnam\'s Sons"
"Tao of Pooh","Benjamin Hoff","1982","Dutton Books"
"East of Eden","John Steinbeck","2002","Penguin Books"
"The Vintage Book of Contemporary World Poetry","J. D. McClatchy","1996","Vintage Books USA"
"Talk: Npr\'s Susan Stamberg Considers All Things","Susan Stamberg","1993","Random House Inc"
"Ana Frank Diario","Ana Frank","1985","Plaza &amp; Janes Editores, S.A."
"Velvet Angel","Jude Deveraux","1991","Pocket"
"The Neverending Story","Michael Ende","1984","Penguin USA"
"Awakenings","Oliver W. Sacks","1990","Harpercollins"
"Resurfacing: Techniques for Exploring Consciousness","Harry Palmer","1997","Stars End Creations"
"A Member of the Family","Susan Merrell","2000","HarperCollins Publishers"
"All Smiles","Stella Cameron","2000","Mira Books"
"Some Can Whistle","Larry McMurtry","2002","Simon &amp; Schuster"
"Sunset in St. Tropez","Danielle Steel","2003","Dell Publishing Company"
"Cloudy With a Chance of Meatballs","Judi Barrett","1988","Aladdin Paperbacks"
"A Child Called ""It"": One Child\'s Courage to Survive","Dave Pelzer","1995","Health Communications"
"He Chose The Nails","Max Lucado","2000","W Publishing Group"
"The Long Dark Tea-Time of the Soul","Douglas Adams","1989","Simon &amp; Schuster"
"The Packing Book: Secrets of the Carry-On Traveler","Judith Gilford","1994","Ten Speed Press"
"Callahan\'s Lady","Spider Robinson","2001","Baen"
"Tales Too Ticklish to Tell: Bloom County","Berke Breathed","1988","Little Brown &amp; Co"
"Fragile Species","Lewis Thomas","1993","Scribner"
"The New Yorker Book of Literary Cartoons","Bob Mankoff","2000","Atria"
"When Love Awaits","Johanna Lindsey","1986","Avon"
"Angel Landing","Alice Hoffman","1999","Berkley Publishing Group"
"Bunnicula\'s Pals -- Harold, Howie and Chester -- in Hot Fudge","James Howe","1991","Harpercollins Juvenile Books"
"Toilet Training in Less Than A Day","Nathan Azrin","1989","Pocket"
"The Best American Short Stories of the Century","John Updike","2000","Houghton Mifflin"
"Rubinroter Dschungel.","Rita Mae Brown","1987","Rowohlt Tb."
"Beyond Eden","Catherine Coulter","1992","Penguin USA"
"A Cold Case","Philip Gourevitch","2002","Picador"
"The Fountains of Paradise","Arthur C. Clarke","2001","Aspect"
"Mrs. Mike","Benedict Freedman","1984","Berkley Publishing Group"
"He Chose The Nails","Max Lucado","2000","Word Publishing"
"King Leopold\'s Ghost","Adam Hochschild","1999","Mariner Books"
"A Terrible Beauty","Graham Masterton","2003","Pocket Star"
"Probable Cause","Grif Stockley","2002","Sunset Productions"
"Wicked!: All Six Parts in One Book: Single Volume Containing All 6 Parts","Paul Jennings","1999","Penguin Books Australia Ltd"
"Pierre and Jean","Guy De Maupassant","1984","Ideal Foreign Books"
"The Master and Margarita","Mikhail Bulgakov","1996","Vintage Books USA"
"Helden wie wir.","Thomas Brussig","1998","Fischer (Tb.), Frankfurt"
"The Wailing Wind","Tony Hillerman","2003","HarperTorch"
"Red Azalea","Anchee Min","1994","Orion Publishing Co"
"A Gentle Giving","Dorothy Garlock","1993","Warner Books"
"Blind Man\'s Bluff: The Untold Story of American Submarine Espionage","Sherry Sontag","1999","Perennial"
"Oscar and Lucinda","Peter Carey","1995","Harpercollins"
"Complete Chronicles of Narnia","C. S. Lewis","2001","Harpercollins Juvenile Books"
"Chasing Cezanne","Peter Mauyle","0","Penguin Putnam~trade"
"101 Uses for a Lab","Dale C. Spartas","1998","Willow Creek Press"
"Dave Barry Is Not Making This Up","Dave Barry","2001","Ballantine Books"
"Goose Chase","Patrice Kindl","2002","Puffin Books"
"Rebelion en la Granja","George Orwell","1983","Destino"
"Hunting Unicorns","Bella Pollen","2004","Thomas Dunne Books"
"Good Intentions","Agnes Desarthe","2002","Flamingo"
"Satellite Sisters\' Uncommon Senses","Lian Dolan","2001","Riverhead Books"
"There Are Two Errors in the the Title of This Book*: A Sourcebook of Philosophical Puzzles, Paradoxes and Problems","Robert M. Martin","2002","Broadview Press"
"Her Mother\'s Daughter","Marilyn French","1990","Ballantine Books"
"The Persian Boy","Mary Renault","1972","Random House Inc"
"Callahan\'s Lady","Spider Robinson","1989","Berkley Pub Group"
"Parallel Journeys","Eleanor H. Ayer","2000","Aladdin"
"The Shadowy Horses","Susanna Kearsley","1997","V. Gollancz"
"Peyton Place","Grace Metalious","1999","Northeastern University Press"
"Life of Pi","Yann Martel","2003","Highbridge Audio"
"Walking the Bible: A Journey by Land Through the Five Books of Moses","Bruce Feiler","2001","William Morrow"
"Chiefs","Stuart Woods","1982","Bantam Books"
"Paul Harvey\'s the Rest of the Story","Paul Aurandt","1977","Bantam Dell Pub Group"
"The Marching Season","Daniel Silva","2004","Signet Book"
"The Cutout","Francine Mathews","2001","Bantam Books"
"Cemetery of Angels","Noel Hynd","1996","Pinnacle Books"
"Worldwalk","Steven M. Newman","1989","Harpercollins"
"How the Dead Live","Will Self","2001","Grove Press"
"Sheba","Jack Higgins","1995","Berkley Publishing Group"
"Jo\'s Boys","Louisa May Alcott","2002","IndyPublish.com"
"Secret Garden","Frances Hod Burnett","0","Barnes Noble Books"
"The Seventh Commandment","Lawrence Sanders","1991","Putnam Publishing Group"
"Suspicion of Madness","Barbara Parker","2003","Dutton Books"
"Princess Daisy","Judith Krantz","1984","Bantam Books"
"Dark Guardian","Christine Feehan","2002","Leisure Books"
"Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before","Tony Horwitz","2002","Henry Holt &amp; Company"
"How All This Started","Pete Fromm","2001","Picador USA"
"Touching Evil","Kay Hooper","2001","Bantam Books"
"The Witness for the Prosecution and Other Stories","Agatha Christie","1996","Berkley Publishing Group"
"Dinosaurs: A Celebration","Steve White","1997","Client Distribution Services"
"Bet Me","Jennifer Crusie","2004","Brilliance Audio"
"Encore Provence","Peter Mayle","1999","Alfred A. Knopf"
"Gandhi An Autobiography:  The Story of My Experiments With Truth","Mohandas Karamchand Gandhi","1993","Beacon Press"
"How to Be Your Own Best Friend","M. Newman","1990","Ballantine Books"
"Two Old Women","Velma Wallis","1994","Perennial"
"Murder, Mayhem And Mistletoe","Terence Faherty","2001","Worldwide Library"
"The Archer\'s Tale","Bernard Cornwell","2002","HarperTorch"
"The Escher Twist: A Homer Kelly Mystery","Jane Langton","2003","Penguin Books"
"If at Faust You Don\'t Succeed","Roger Zelazny","1994","Bantam"
"Bedtime Stories for Women","Nancy Madore","2003","Llumina Press"
"Crocodile on the Sandbank","Elizabeth Peters","1988","Warner Books"
"Child of My Heart","Alice McDermott","2002","Audio Renaissance"
"The Happy Isles of Oceania: Paddling the Pacific","Paul Theroux","1992","Putnam Pub Group"
"Gertrude and Claudius","John Updike","2001","Ballantine Books"
"Your\'s Till Niagara Falls, Abby","Jane O\'Connor","1987","Scholastic"
"Blue Bayou","Dick Lochte","1992","Simon &amp; Schuster"
"All-of-a-kind Family","Sydney Taylor","1980","Yearling Books"
"A Girl\'s Best Friend","Harriet May Savitz","1995","Scholastic Paperbacks (Mm)"
"Slackjaw","Jim Knipfel","2000","Berkley Publishing Group"
"In Our Strange Gardens","Michel Quint","2001","Riverhead Books"
"The Backyard Naturalist","Craig Tufts","1988","Natl Wildlife Federation"
"Best Short Stories of the Modern Age","Douglas Angus","1981","Fawcett Books"
"The Jew Store","Stella Suberman","2001","Algonquin Books"
"The Regency Collection","Stephanie Laurens","1999","Harlequin Mills &amp; Boon Ltd"
"A Small Death in Lisbon","Robert Wilson","2002","Berkley Publishing Group"
"Glimmering","Elizabeth Hand","1997","Harpercollins"
"The Mysterious Mr. Quin","Agatha Christie","2002","St. Martin\'s Minotaur"
"Slay Ride","Dick Francis","2000","Jove Books"
"Jury Double","Edward Stewart","1997","Dell Publishing Company"
"Three Wishes","Barbara Delinsky","1998","Pocket"
"And Justice There Is None","Deborah Crombie","2003","Bantam Books"
"The Sea King\'s Daughter","Barbara Michaels","1988","Berkley Publishing Group"
"Hangman\'s Root","Susan Wittig Albert","1995","Berkley Publishing Group"
"Salem\'s Lot","Stephen King","1976","Signet Book"
"Lord of the Keep","Ann Lawrence","1999","Love Spell"
"Metaphysique Des Tubes","Amelie Nothomb","2002","Distribooks Inc"
"American Star","Jackie Collins","1993","William Heinemann"
"Harlequin Valentine","Neil Gaiman","2002","Dark Horse Comics"
"Affliction","Fay Weldon","0","Harpercollins Uk"
"Love, Alice: My Life As a Honeymooner","Audrey Meadows","1994","Ballantine Books"
"Dunkle Kammern.","Minette Walters","2002","Goldmann"
"Crossing Over: One Woman\'s Escape from Amish Life","Ruth Irene Garrett","2003","HarperSanFrancisco"
"Absolutely Captivated","Kristine Grayson","2004","Zebra Books"
"Bone Mountain","Eliot Pattison","2002","St. Martin\'s Minotaur"
"Deryni Magic","Katherine Kurtz","1991","Del Rey Books"
"A Cold Case","Philip Gourevitch","2001","Farrar Straus Giroux"
"Body Count","Burl Barer","2002","Pinnacle Books"
"Die Entdeckung der Langsamkeit.","Sten Nadolny","1987","Piper"
"Drinking, Smoking, and Screwing: Great Writers on Good Times","Sara Nickles","1994","Chronicle Books"
"The Music of the Spheres","Elizabeth Redfern","2001","G. P. Putnam\'s Sons"
"Jacob Have I Loved","Katherine Paterson","1980","HarperCollins"
"Dead Heat","Linda Barnes","1995","Fawcett Books"
"The Tailor of Panama","John Le Carre","1997","Ballantine Books"
"Lo Hobbit / The Hobbit","J. R. R. Tolkien","2002","Distribooks"
"Anthem","Ayn Rand","1961","Signet Book"
"Grace Notes  Co","Alexandra Stoddard","1994","HarperResource"
"Alice Springs","Nikki Gemmell","2000","Penguin Books"
"Waking the Dead","Scott Spencer","1987","Ballantine Books"
"The Fifth Sacred Thing","Starhawk","1994","Bantam"
"Snow in August","Pete Hamill","1998","Warner Books"
"The Writing Life","National Book Award","1995","Random House Trade"
"Four Classic American Novels","Willard Thorp","1969","Signet Book"
"Best Bisexual Erotica","Bill Brent","2000","Black Books"
"Telling Christina Goodbye","Lurlene McDaniel","2002","Starfire"
"Death in a Cold Hard Light","Francine Mathews","1999","Bantam Books"
"The Manhattan Hunt Club","John Saul","2001","Ballantine Books"
"Reckless Endangerment","Robert K. Tanenbaum","1999","Signet Book"
"More Than a Carpenter","Josh McDowell","1987","Tyndale House Publishers"
"Mr. Paradise:  A Novel","Elmore Leonard","2004","William Morrow"
"Jihad: The Holy War","Lester Sumrall","1981","Sumrall Pub"
"The Seduction","Julia Ross","2002","Berkley Publishing Group"
"The Cinderella Complex: Women\'s Hidden Fear of Independence","Colette Dowling","1981","Simon &amp; Schuster"
"The Joy of Signing: The Illustrated Guide for Mastering Sign Language and the Manual Alphabet","Lottie L. Riekehof","1987","Gospel Publishing House"
"Three Moons Rising","Sheila Eskew","2002","Writers Club Press"
"The Barbed Coil","J. V. Jones","1999","Warner Books"
"Seven Years in Tibet","Heinrich Harrer","1997","Jeremy P. Tarcher"
"Feeling Good: The New Mood Therapy","David D. Burns","1981","Signet Book"
"The Cat Who Went to Heaven","Elizabeth Coatsworth","1990","Aladdin"
"Dinosaur in a Haystack: Reflections in Natural History","Stephen Jay Gould","1997","Three Rivers Press (CA)"
"Herrings Go About the Sea in Shawls: And Other Classic Howlers from Classrooms and Examination Papers","Alexander Abingdon","1997","Penguin USA"
"The Archer\'s Tale","Bernard Cornwell","2001","HarperCollins"
"Rendezvous with Rama","Arthur Charles Clarke","1984","Del Rey Books"
"A Dog\'s Life","Peter Mayle","1996","Vintage Books USA"
"The Tea Planter\'s Bride/Cassette","Rosemary Rogers","1995","Romance Alive Audio Books"
"Marine Sniper: 93 Confirmed Kills","Charles Henderson","1991","Berkley Publishing Group"
"Silk and Steel","Kat Martin","2000","St. Martin\'s Press"
"When Elephants Weep: The Emotional Lives of Animals","J. Moussaieff Masson","1995","Bantam Dell Pub Group"
"Canapes for the Kitties","Marian Babson","1997","St Martins Pr"
"The Encyclopedia of Serial Killers","Michael Newton","2000","Facts on File"
"Dear Doosie.","Werner Lansburgh","1977","Fischer (Tb.), Frankfurt"
"The Roosevelt Women","Betty Boyd Caroli","1999","Basic Books"
"Zod Wallop","William Browning Spencer","1995","St Martins Pr"
"Emma Who Saved My Life","Wilton Barnhardt","1998","Picador USA"
"Angel of Death","Charlotte Lamb","2001","Hodder &amp; Stoughton Ltd"
"The Indian in the Cupboard","Lynne Reid Banks","1999","HarperTrophy"
"Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters","David Hockney","2001","Studio Books"
"Ishmael","Daniel Quinn","1993","Bantam Books"
"The Cider House Rules","John Irving","1999","Ballantine Books"
"Naked Came the Manatee","Carl Hiaasen","1998","Ballantine Books"
"A College of Magics","Caroline Stevermer","1995","Tor Books (Mm)"
"The Swiss Family Robinson","Johann Wyss","1998","Barbour Pub Inc"
"Leave Well Enough Alone","Rosemary Wells","2002","Puffin Books"
"Hotel of the Saints","Ursula Hegi","2002","Touchstone"
"A Friend of the Family","Lisa Jewell","2003","Dutton Books"
"Grayheart","Tara K. Harper","1996","Del Rey Books"
"Plaisir d\'offrir, joie de recevoir","Anna Rozen","2001","J\'ai lu"
"A Game of Spies","John Altman","2003","Jove Books"
"The Fulfillment","Lavyrle Spencer","1999","William Morrow &amp; Company"
"The Wapshot Chronicle","John Cheever","1989","HarperCollins Publishers"
"Lake Wobegon Days","Garrison Keillor","1985","Penguin USA"
"The Time Ships","Stephen Baxter","1996","Eos"
"My Prison Without Bars","Pete Rose","2004","Rodale Books"
"The Dragons of Eden: Speculations on the Evolution of Human Intelligence","Carl Sagan","1977","Random House Inc"
"Miss Melville Rides a Tiger","Evelyn E. Smith","1993","Fawcett Books"
"The Adventures of Huckleberry Finn","Mark Twain","1983","Scholastic"
"The Baron in the Trees","Italo Calvino","1977","Harcourt"
"The Tattoo Murder Case","Akimitsu Takagi","1997","Soho Press"
"Tender at the Bone: Growing Up at the Table","Ruth Reichl","1998","Random House"
"Making Faces","Kevyn Aucoin","1999","Little, Brown"
"Song from the Sea","Katherine Kingsley","2003","Dell Publishing Company"
"Wanted Words: From Amalgamots to Undercarments - Language Gaps Found and Fixed","Jane Farrow","2000","Fitzhenry &amp; Whiteside Ltd"
"The Regulators","Richard Bachman","1996","Dutton Books"
"In the Heart of the Sea: The Tragedy of the Whaleship Essex","Nathaniel Philbrick","2001","Large Print Press"
"Fast Women","Jennifer Crusie","2001","Brilliance Audio"
"The Tale of Peter Rabbit","Beatrix Potter","1979","Troll Communications Llc"
"Fountainhead","Ayn Rand","1952","Signet Book"
"Ladder of Years","Anne Tyler","1996","Ballantine Books"
"Fool\'s Die","Mario Puzo","1979","Signet Book"
"Thrones, Dominations","Dorothy L. Sayers","1998","St Martins Pr"
"The Whipping Boy","Sid Fleischman","1986","Greenwillow"
"Thin Air","Robert B. Parker","1995","Putnam Pub Group"
"Power of Three","Diana Wynne Jones","1984","Ace Books"
"The Laws of Our Fathers","Scott Turow","1997","Warner Books"
"The Nurse\'s Story","Carol Gino","1997","Aah-Ha! Books Inc."
"A Tuscan Childhood","Kinta Beevor","2000","Vintage Books USA"
"Skeleton Crew","Stephen King","1985","Putnam Pub Group"
"Code to Zero","Ken Follett","2000","Dutton Books"
"Dreamweaver 4 for Windows and Macintosh: Visual QuickStart Guide","J. Tarin Towers","2001","Peachpit Press"
"Stalking the Nightmare","Harlan Ellison","1984","Berkley Pub Group"
"Old New York","Edith Wharton","1995","Scribner"
"Finishing Becca: A Story about Peggy Shippen and Benedict Arnold","Ann Rinaldi","1994","Gulliver Books Paperbacks"
"Hot Property","Zoe Barnes","2000","Judy Piatkus Publishers Ltd"
"Tao Te Ching: A New English Version","Laozi","1994","Harpercollins"
"Presumed Innocent","Scott Turow","1988","Warner Books"
"Fremde Federn.","Martha Grimes","1996","Goldmann"
"Postmortem","Patricia Cornwell","1995","LGF"
"Riding in Cars With Boys: Confessions of a Bad Girl Who Makes Good","Beverly Donofrio","2000","Penguin Books"
"When Men Think Private Thoughts","Gordon MacDonald","1996","Nelson Books"
"Death at Gallows Green","Robin Paige","1998","Berkley Publishing Group"
"Starfarers","Poul Anderson","1999","Tor Books"
"Smoke and Mirrors","Barbara Michaels","2002","HarperTorch"
"Once a Thief","Kay Hooper","2002","Bantam Books"
"The Remorseful Day","Colin Dexter","2001","Fawcett Books"
"The Stone Diaries","Carol Shields","1994","Viking Books"
"Any Human Heart","William Boyd","2002","Hamish Hamilton"
"The Perfect Victim","Linda Castillo","2002","Jove Books"
"The Swiss Family Robinson","Johann David Wyss","1999","Yearling Books"
"Faithless: Tales of Transgression","Joyce Carol Oates","2002","Ecco"
"South: The Endurance Expedition","Ernest Shackleton","1999","Signet Book"
"No Greater Love","Frank Gill Slaughter","1985","Thorndike Pr"
"Tar Baby","Toni Morrison","0","Penguin Putnam~trade"
"Genesis: A Living Conversation","Bill Moyers","1996","Bantam Dell Pub Group"
"The Dead Zone","Stephen King","1979","Viking Books"
"The Invisible Man","H. G. Wells","1992","Tor Books"
"Innumeracy: Mathematical Illiteracy and Its Consequences","John Allen Paulos","1988","Hill &amp; Wang"
"Going-To-Bed Book, The","Sandra Boynton","1982","Little Simon"
"Bitter Medicine","Sara Paretsky","1999","Dell Publishing Company"
"Forfeit","Dick Francis","1999","Jove Books"
"A Drug War Carol","Susan W. Wells","2003","BigHead Press"
"Prayers for Rain","Dennis Lehane","1999","William Morrow &amp; Company"
"A Pinch of Snuff","Reginald Hill","1990","Dell Publishing Company"
"God Came Near","Max Lucado","1993","Multnomah"
"Love Inspired: Toward Home","Carolyne Aarsen","2003","Steeple Hill"
"Dona Flor and Her Two Husbands","Jorge Amado","1999","Consortium Book Sales &amp; Dist"
"The Hunt for Red October","Tom Clancy","1990","Berkley Publishing Group"
"Sister Water","Nancy Willard","1993","Random House Inc"
"The Sex Life of My Aunt","Mavis Cheek","2003","Faber and Faber Ltd"
"The Gangster We Are All Looking For","Le Thi Diem Thuy","2003","Knopf"
"The Collected Stories of Tobias Wolff","Tobias Wolff","1997","Bloomsbury Publishing Plc"
"Das Leben ist kurz. Vita brevis.","Jostein Gaarder","1999","Dtv"
"Prime Cut","Diane Mott Davidson","2000","Bantam Books"
"Wolfsherz.","Wolfgang Hohlbein","1999","LÃ?Â¼bbe"
"Comes the Blind Fury","John Saul","1993","Dell Publishing Company"
"Live from New York: An Uncensored History of Saturday Night Live","Tom Shales","2002","Little, Brown"
"Castles in the Mist","Josie Litton","2002","Bantam Books"
"Cut and Run","Jeff Abbott","2003","Onyx Books"
"In a Certain Light","Karen Brownstein","1987","PaperJacks"
"The Jeopardy! Book: The Answers, the Questions, the Facts, and the Stories of the Greatest Game Show in History","Alex Trebek","1990","HarperCollins"
"999: New Stories of Horror and Suspense","Al Sarrantonio","1999","Hodder &amp; Stoughton General Division"
"Just Like Jesus","Max Lucado","2001","W Publishing Group"
"Warning Signs","Stephen White","2003","Dell Publishing Company"
"Genesis Record: A Scientific and Devotional Commentary on the Book of Beginnings","Henry M. Morris","1981","Baker Books"
"The Chronoliths","Robert Charles Wilson","2002","Tor Books"
"Dead Run","Erica Spindler","2002","Mira"
"Suzanne\'s Diary for Nicholas","James Patterson","2001","Little, Brown"
"Curses! Broiled Again!: The Hottest Urban Legends Going","Jan Harold Brunvand","1989","W W Norton &amp; Co Inc"
"The Russian Debutante\'s Handbook","Gary Shteyngart","2003","Riverhead Books"
"Brown Girl in the Ring","Nalo Hopkinson","1998","Warner Books"
"3001: The Final Odyssey","Arthur C. Clarke","1997","Ballantine Books"
"The Fiery Cross","Diana Gabaldon","2002","Delta"
"Brides of Prairie Gold","Maggie Osborne","1996","Warner Books"
"First Offense","Nancy Taylor Rosenberg","1994","Penguin USA"
"The Pleasure Prescription: To Love, to Work, to Play Life in the Balance","Paul Pearsall","1996","Hunter House (CA)"
"Sand Castles","Nicolas Freeling","1990","Mysterious Press"
"Glass Houses","Stella Cameron","2000","Kensington Publishing Corporation"
"Slow Hands","Lauren Bach","2002","Warner Books"
"Paris in the Fifties","Stanley Karnow","1999","Three Rivers Press (CA)"
"In My Mother\'s House","Elizabeth Winthrop","1988","Bantam Dell Pub Group"
"Fight Club","Chuck Palahniuk","2002","Gallimard"
"Snow White and the Seven Dwarfs","Laura Ljungkvist","2003","Harry N Abrams"
"Jack Maggs","Peter Carey","1998","Random House Audio Publishing Group"
"Night Train to Memphis","Elizabeth Peters","1995","Warner Books"
"Star Witness","Dudley W. Buffa","2003","Putnam Publishing Group"
"That Was Then, This Is Now","S. E. Hinton","1998","Penguin Putnam Books for Young Readers"
"Lilah and Suzanna: The Calhoun Women","Nora Roberts","1998","Silhouette"
"Black Girl in Paris","Shay Youngblood","2000","Putnam Pub Group"
"Affinity","Sarah Waters","2002","Riverhead Books"
"A Season in Purgatory","Dominick Dunne","1999","Ballantine Books"
"The Intelligence of Dogs: A Guide to the Thoughts, Emotions, and Inner Lives of Our Canine Companions","Stanley Coren","1995","Bantam"
"Mein langer Lauf zu mir selbst.","Joschka Fischer","2001","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
"Carriers","Patrick Lynch","1995","Random House Inc"
"Life 101: Everything We Wish We Had Learned in High School-But Didn\'t","John-Roger McWilliams","1991","Bantam Books"
"The Burglar in the Rye: A Bernie Rhodenbarr Mystery","Lawrence Block","1999","Penguin USA"
"The Raggy Boy Trilogy","Patrick Galvin","2002","New Island Books"
"Wish You Were Here","Rita Mae Brown","1990","Bantam Dell Pub Group"
"The Tale of Peter Rabbit","Beatrix Potter","2000","Grosset &amp; Dunlap"
"Aimee und Jaguar. Eine Liebesgeschichte, Berlin 1943.","Erica Fischer","2002","Kiepenheuer &amp; Witsch"
"Flyy Girl","Omar Tyree","2001","Simon &amp; Schuster"
"The Superior Person\'s Book of Words","Peter Bowler","1990","Dell Publishing Company"
"Suffer the Children","John Saul","1986","Dell"
"If Looks Could Kill","Heather Graham Pozzessere","1997","Mira"
