name,book
"Noela","Tully"
"Jaimey","Mere Christianity"
"Edward","Ficciones"
"Brenda","One Door Away from Heaven"
"Nikos","Day of Confession"
"Navil","Black, White and Jewish: Autobiography of a Shifting Self"
"Janice","Chosen Prey"
"Aydn","The Jazz Bird"
"Lindsay","A Little Princess"
"Aliyah","Icy Sparks"
"Leyda","The Cat Who Went up the Creek"
"Aryia","The Other Boleyn Girl"
"Junior","The Sewing Circle: One Woman\'s Mentoring Shapes Lives in Four Stories of Love"
"Sharon","Obasan"
"Katherine","Animal Husbandry"
"Hao","The Persian Boy"
"Joseph","One True Thing"
"Sheree","Queen Bee of Mimosa Branch"
"Gregory","Don\'t Pee on My Leg and Tell Me It\'s Raining: America\'s Toughest Family Court Judge Speaks Out"
"John","Five Days in Summer"
"James","When the Storm Breaks"
"Deidrea","Without Feathers"
"Carl","Life Penalty"
"Mateo","Undue Influence"
"Rylee","Living Buddha, Living Christ"
"Jarrius","Living Out Loud"
"Aysia","Do Androids Dream of Electric Sheep?"
"Lindsay","Rattling the Cage: Toward Legal Rights for Animals"
"Woodroe","Beach Music"
"Nell","Como Agua Para Chocolate/Like Water for Chocolate"
"Katherine","Charms for the Easy Life"
"Kerrington","Deception Point"
"Clara","The Empty Chair"
"Frank","The Accidental Bride"
"Alaina","La Nuit Des Enfants Rois"
"Lura","To Catch an Heiress"
"Sabrina","Sophies Choice"
"Derald","Seventh Heaven"
"Emily","The Quiet Game"
"Marianne","In a Sunburned Country"
"Darrell","The Prince of Tides"
"Artie","City of Bones"
"Berdine","Protect and Defend"
"Richard","The Face of Deception"
"Larkin","The Empress File"
"Taariq","The Secret Life of Bees"
"Detron","October Sky: A Memoir"
"Jacqueline","Schlaflos. Insomnia."
"Lauro","Firestarter"
"Leotha","Indian Killer"
"Aydin",".Hack: //Legend of the Twilight, Vol. 2"
"Vincent","Please Stop Laughing at Me: One Woman\'s Inspirational Story"
"Wilder","Mismeasure of Man"
"Taven","A Child Called ""It"": One Child\'s Courage to Survive"
"John","My Heart Stood Still"
"Marylou","The Handmaid\'s Tale"
"Sophia","Perfume: The Story of a Murderer"
"Anaiyah","The Loner"
"Reynolds","Road Taken"
"Anden","Just for Fun: The Story of an Accidental Revolutionary"
"Becki","Der zweite Mord."
"Irven","El ocho"
"Douglas","Way to Rainy Mountain"
"Cydnee","A Child Called ""It"": One Child\'s Courage to Survive"
"Abigail","Seduction in Death"
"John","The Eagle\'s Shadow: Why America Fascinates And Infuriates The World"
"Domenic","Circuit of Heaven"
"Nelta","The Long Dark Tea-Time of the Soul"
"Kelvyn","Greenmantle"
"Harold","The Dress Lodger"
"Armond","Daydreams and Doodles Journal"
"Delmar","Because It Is Bitter, and Because It Is My Heart"
"Peggy","The Letter of the Law"
"Tynisha","Mockery of Justice: True Story of Sheppard Murder Case"
"Ricky","Springwater Wedding"
"Siddharth","Under the Tuscan Sun"
"Kamdyn","Roses Are Red"
"Merrel","The King of Torts"
"Wendi","Book of Qualities"
"Alixandra","A Hole in the Earth"
"Jairo","Absolute Power"
"Burnice","Killing Pablo: The Hunt for the World\'s Greatest Outlaw"
"Arlean","Prince Caspian"
"Filomena","Tales Too Ticklish to Tell: Bloom County"
"Aubree","The Edible Woman"
"Robert","A Tangled Web"
"Georgianna","Sullivan\'s Island: A Lowcountry Tale"
"Monette","Justice: Crimes, Trials, and Punishments"
"Mary","Dr. Atkins\' New Diet Revolution"
"Kailey","Dave Barry\'s Book of Bad Songs"
"Courtland","Holographic Universe"
"Micaiah","Life of Pi"
"Steffen","Black Odyssey: The Case of the Slave Ship Amistad"
"Marty","Letters from a Nut"
"Tiffanie","Faking It"
"Lindsie","Two for the Dough"
"Odie","The Reef"
"Dariana","Beyond Forever"
"Deborah","Dragonsbane"
"Isreal","Pigs in Heaven"
"Melva","Cold Flat Junction"
"Alaiza","Dharma Bums"
"Samuel","Encyclopedia of Gods: Over 2,500 Deities of the World"
"Emma","The Magic School Bus Inside Ralphie: A Book About Germs"
"Alejandro","The Salterton Trilogy"
"Lorraine","Good in Bed"
"Lynda","I, Robot"
"Evangelina","The Donovan Legacy"
"Etta","Absolutely American: Four Years at West Point"
"Lindsay","Briar Rose"
"Christelle","The First Deadly Sin"
"Frances","The Triumph of Katie Byrne"
"Asia","The Deep End of the Ocean"
"Levert","Past Lives, Future Healing: A Psychic Reveals the Secrets to Good Health and Great Relationships"
"Jessica","The Dolphins of Pern"
"Mitzi","A Heartbreaking Work of Staggering Genius"
"Austin","All the King\'s Men"
"Enos","Salem\'s Lot"
"John","Gunpowder Green"
"Judson","The Girl Who Loved Tom Gordon"
"Marlean","All over but the Shoutin\'"
"Miriam","Ranting Again"
"Melinda","Catch Me If You Can: The True Story of a Real Fake"
"Raynard","The Mosquito Coast"
"Porcha","Vampires: Two Centuries of Great Vampire Stories"
"Marshayla","Gap Creek: The Story Of A Marriage"
"Lela","Invisible Monsters"
"Bristol","Certain Prey"
"Patty","The Shape of Snakes"
"Lorina","Four Past Midnight"
"Levi","In a Dry Season"
"Kailey","Seventh Scroll"
"Alicia","Grim Pickings"
"Sheila","Dress Your Family in Corduroy and Denim"
"Gayle","Medico, El"
"Ariel","In Flammen."
"Tiffany","The Bonesetter\'s Daughter"
"Zonia","Glory Lane"
"Westly","Last Chance Saloon"
"Kady","Dragon and Phoenix"
"Carolynn","Another Dawn"
"Sienna","Bastard Out of Carolina"
"Jaiden","Blitzcat"
"Gabriella","The Tipping Point: How Little Things Can Make a Big Difference"
"Dov","Finding God in the Lord of the Rings"
"Basir","The Firm"
"Ryan","Checklists for Life: 104 Lists to Help You Get Organized, Save Time, and Unclutter Your Life"
"Nabeel","The Celestine Prophecy"
"Eleanor","Write It Down Make It Happen: Knowing What You Want And Getting It"
"Earl","A Prayer for Owen Meany"
"Jaeden","Come to Grief"
"Acadia","Barchester Towers"
"Charles","The French Mathematician"
"Alexander","The Bonfire of the Vanities"
"Zayden","Poetry for Cats: The Definitive Anthology of Distinguished Feline Verse"
"John","Deadly Embrace"
"Aerial","The Faded Sun Trilogy"
"Mary","Go Ask Alice"
"Shanda","Deep Lie"
"Magdalene","The Absence of Nectar"
"Ivelise","Not a Creature Was Stirring"
"Zeb","Under the Tuscan Sun"
"Joel","A Cup of Christmas Tea"
"George","The House of Forgetting"
"Con","Tuesdays with Morrie: An Old Man, a Young Man, and Life\'s Greatest Lesson"
"Timothy","More Than Friends"
"Airen","From Potter\'s Field"
"Brenda","""O"" Is for Outlaw"
"Sharry","The Cobra Event"
"Cedrik","A Prayer for Owen Meany"
"Elva","The Sum of All Fears"
"Rossie","Bird by Bird: Some Instructions on Writing and Life"
"Clifford","The Color Purple"
"Yvonne","Southern Cross"
"Ceceilia","The Bonfire of the Vanities"
"Janet","Night Storm"
"Rowdy","The Curious Sofa: A Pornographic Work by Ogdred Weary"
"Amaia","Second Time Around"
"Harold","Cavedweller"
"Stephanie","Swan Song"
"Kambria","Live from Death Row"
"Jaquan","Kisscut"
"Thai","Aging with Grace: What the Nun Study Teaches Us About Leading Longer, Healthier, and More Meaningful Lives"
"Norberto","Enormously FoxTrot"
"Jerry","Murder on the Gravy Train"
"Zaniya","The Da Vinci Code"
"Gary","Affair Most Wicked, An"
"Jameson","The Road to Wellville"
"Elissa","Leap of Faith"
"Saul","The Battle for God"
"Tamara","The Curse of the Pharaohs"
"Dejane","Hot Money"
"Madalyn","Suzanne\'s Diary for Nicholas"
"Kristy","Reap the Wind"
"Rhonda","Die Trying"
"Dorothy","The Missing Piece Meets the Big O"
"Anita","The Long Dark Tea-Time of the Soul"
"Camelia","The First Counsel"
"Derek","Conduct Unbecoming"
"Theresa","The Truest Pleasure"
"Patricia","Are You My Mother?"
"Zachary","Cinnamon Skin"
"Paulina","See Jane Date"
"Jolee","The House at Pooh Corner"
"Reginal","Good in Bed"
"Angelique","Sophies Choice"
"Hallie","Camp Concentration"
"James","Fight Club"
"Sheila","The World According to Mister Rogers"
"Leigh","The Family Tree"
"James","New Vegetarian: Bold and Beautiful Recipes for Every Occasion"
"Sonja","Chicken Soup with Rice: A Book of Months"
"Susan","The Secret Garden"
"Arleen","Basher Five-Two: The True Story of F-16 Fighter Pilot Captain Scott O\'Grady"
"Mandie","The HIDDEN LIFE OF DOGS"
"Alicia","Silence of the Lambs"
"Darrel","Down and Out in Paris and London"
"Arzella","Purple Cane Road"
"Alyson","When I Was Puerto Rican"
"Marie","Keeper Of The Bride"
"Martin","The Goal: A Process of Ongoing Improvement"
"Tylen","Pretty Boy Floyd"
"Stanton","A Wrinkle in Time"
"Kallen","The Bat in My Pocket: A Memorable Friendship"
"Mahkayla","""O"" Is for Outlaw"
"Margaret","The Engines of God"
"Skilar","Donde El Corazon Te Lleve"
"Felecia","It Was on Fire When I Lay Down on It"
"Tricia","Taming a Sea-Horse"
"Takiera","The Pelican Brief"
"Gweneth","Warchild"
"Rose","Sick Puppy"
"Grafton","Sick Puppy"
"Sierra","That Camden Summer"
"Haniel","Neverwhere"
"Eddie","Icy Sparks"
"Letisia","The Cat Who Brought Down the House"
"Lavern","Mrs. Pollifax and the Whirling Dervish"
"Maison","Dating Big Bird"
"James","Liner Notes"
"Constance","Julie of the Wolves"
"Darek","New Vegetarian: Bold and Beautiful Recipes for Every Occasion"
"Monte","The Baby Mission  The Mom Squad"
"Amelia","Halloween Party"
"Kalah","The Perks of Being a Wallflower"
"Stella","Rush Limbaugh Is a Big Fat Idiot: And Other Observations"
"James","Season of the Machete"
"Norman","Icy Sparks"
"Peter","The Women\'s Room"
"Chelsea","The bookshop"
"Percy","Voice of the Eagle"
"Alora","One True Thing"
"Cecily","A Week in the Zone"
"James","Tangled Vines"
"Carleta","Walden Or, Life in the Woods and on the Duty of Civil Disobedience"
"Kera","Big Russ and Me: Father and Son--Lessons of Life"
"Saige","Hemlock Bay"
"Mark","Doomsday Book"
"Irving","Entranced"
"Winfield","Peter S. Beagle\'s Immortal Unicorn"
"Leroy","The Book of Ultimate Truths"
"Brittany","The Inn at Lake Devine"
"Taci","Night"
"Roxann","Iacocca: An Autobiography"
"Glenna","Miss Nelson Is Missing!"
"Carvin","The Secret Life of Bees"
"Kennede","Catch Me If You Can: The True Story of a Real Fake"
"Del","Promise Forever"
"Nigel","The Bourne Supremacy"
"Mark","The Discworld Mapp"
"Arma","River, Cross My Heart"
"Elinora","Jade Peony"
"Elma","Charms for the Easy Life"
"Selena","The Bridges of Madison County"
"Erickson","I Is for Innocent"
"Stanley","The Sisterhood of the Traveling Pants"
"Karsyn","253"
"Samarra","The River King"
"Shanel","The Lovely Bones"
"Katharine","Land of the Living"
"Vera","Twilight at Mac\'s Place"
"Drew","Street Boys"
"Irving","Twilight Hunger"
"John","Embrace the Twilight"
"Zanetta","Dark Hollow"
"Steve","The Servant: A Simple Story About the True Essence of Leadership"
"Jamien","She Loves Me Not"
"Scott","A Monk Swimming"
"Scott","Dave Barry\'s Greatest Hits"
"Francine","Bad Girls of the Bible and What We Can Learn from Them"
"Jolie","Total Recall"
"Thelma","Gracie: A Love Story"
"Emiley","The Beach House"
"Jamielyn","Good in Bed"
"Zakhi","Tis: A Memoir"
"Rosanna","Affliction"
"Eldon","The Iron Tonic: Or, A Winter Afternoon in Lonely Valley"
"Angelique","A Child Called ""It"": One Child\'s Courage to Survive"
"Shazia","The Sum of All Fears"
"John","Master of Ecstasy"
"Scott","Riding the Rap"
"Kynzlee","The Blind Assassin"
"Jesica","The Control of Nature"
"Willy","Interpreter of Maladies"
"Alberto","And the Band Played on: Politics, People, and the AIDS Epidemic"
"Helyn","The Joy Luck Club"
"Leaira","The Further Observations of Lady Whistledown"
"Lillie","The Giving Tree"
"Willean","Fatal Voyage"
"Mack","From the Corner of His Eye"
"Rosalba","It Was on Fire When I Lay Down on It"
"Elia","Freud for Beginners"
"Nomi","Good in Bed"
"Jan","Ein unheimlicher Gast."
"Steven","Murder on a Bad Hair Day: A Southern Sisters Mystery"
"Clyde","Mr. Palomar"
"Ryan","Needful Things"
"Peggy","Rules of Prey"
"Blanche","Terry and the Pirates"
"Anniston","Lost Light"
"Catherine","The Jesus Incident"
"Zain","Postmarked Yesteryear: 30 Rare Holiday Postcards"
"Meyer","The Cater Street Hangman"
"Berlin","They Cage the Animals at Night"
"Deborah","Dragons of Winter Night"
"Isael","Westing Game"
"Marykay","My Dream of You"
"Lucas","Presumed Innocent"
"Leydi","The Blind Assassin"
"Logan","Half Asleep in Frog Pajamas"
"Lucille","Remember When"
"Naoma","The Summons"
"Jamin","The Loop"
"Bonnie","Naked in Baghdad: The Iraq War as Seen by NPR\'s Correspondent Anne Garrels"
"Lisett","Forgive the Moon"
"Jamia","The Gripping Hand"
"Thomas","The Brimstone Wedding"
"Eula","Gabriela, Clove and Cinnamon"
"Laurel","Feel This Book: An Essential Guide to Self-Empowerment, Spiritual Supremacy, and Sexual Satisfaction"
"James","Dream Giver: Following Your God-Given Destiny"
"Cassandra","Love Beyond Reason"
"James","""I Remember Laura"": Laura Ingalls Wilder"
"Susan","Suburban Renewal"
"Josiah","If Tomorrow Comes"
"Abygail","Debout les morts"
"Ursula","Life of Pi"
"Taryne","Middle Age: A Romance"
"Ojas","El caballero de la armadura oxidada"
"Latashia","Debt Proof Your Holidays"
"Michael","Live Bait"
"Kimi","Empire Falls"
"Hana","The Source of Magic"
"Stefan","Midnight Predator"
"Rogers","Minus Time"
"Lula","Midnight in the Garden of Good and Evil: A Savannah Story"
"Cheri","Irish Born"
"Rylan","The Illustrated Brief History of Time, Updated and Expanded Edition"
"Stanley","Life of Pi"
"Theda","Speaker of Mandarin"
"Calvert","Somewhere Off the Coast of Maine"
"Alecsander","L\'Insoutenable Legerete de l\'Etre"
"Orena","Boy\'s Life"
"Sharyn","The Accidental Tourist"
"Michele","Sandman: The Dream Hunters"
"Almeda","The Girls\' Guide to Hunting and Fishing"
"Marinda","What to Expect When You\'re Expecting, Third Edition"
"Norman","Living Buddha, Living Christ"
"Eduarda","Power of a Woman"
"Charle","The Nature of Water and Air"
"Cheryl","Artists in Crime"
"Gladys","Ammonite"
"Delan","Die Prophezeiungen von Celestine. Ein Abenteuer."
"Mallary","The Bonesetter\'s Daughter"
"Myesha","Speak, Memory: An Autobiography Revisited"
"Nochum","Genuine Lies"
"Alexander","Elidor"
"Henri","Inspiration Sandwich: Stories to Inspire Our Creative Freedom"
"Eulogio","The Handmaid\'s Tale"
"June","Skull Session"
"Pauline","A Heartbreaking Work of Staggering Genius"
"Luverna","Midnight\'s Children"
"Christine","The Simpsons: A Complete Guide to Our Favorite Family"
"Beatrice","Old Man and the Sea"
"Tammy","Sleep No More"
"Johan","Life of Pi"
"Auston","Natural Acts: A Sidelong View of Science and Nature"
"Kenneth","Mitigating Circumstances"
"Shajuana","Dead Eyes"
"Kendrell","The Street Lawyer"
"Trevor","A Question of Blood"
"Kourtney","Rhaeva"
"Susan","The Last Sin Eater"
"Deklyn","Veronika Decides to Die"
"Winslow","Are You the One for Me?: Knowing Who\'s Right and Avoiding Who\'s Wrong"
"Sylvia","Girl With a Pearl Earring"
"Doyle","A Writer\'s Book of Days: A Spirited Companion and Lively Muse for the Writing Life"
"Marion","Le Petit Nicolas"
"Jaclyn","Wilderness Tips"
"Caton","A Year in Van Nuys"
"Carmin","The Darwin Awards: Evolution in Action"
"Camden","The Caterpillar\'s Question"
"John","Bridal Favors"
"Gerome","All I Need to Know I Learned from My Cat"
"Loriann","Violets Are Blue"
"Lorena","The Jane Austen Book Club"
"Offie","Night Train to Memphis"
"Sania","Bridget Jones\'s Diary"
"Benny","Life\'s Little Instruction Book; Volume II"
"Melia","The Sparrow"
"James","I, Lucifer: Finally, the Other Side of the Story"
"Unique","The Godmother\'s Apprentice"
"Rana","The Da Vinci Code"
"Juan","Almost Forever"
"Leatrice","Q Is for Quarry"
"Demetrious","Again The Magic"
"Cameron","Four Past Midnight"
"Trung","Sister of My Heart"
"Selena","Go Ask Alice"
"Darrius","Black House"
"Wendy","Snow White, Blood Red"
"Ranya","\'Salem\'s Lot"
"Daniel","A Medieval Home Companion: Housekeeping in the Fourteenth Century"
"Jayren","Il Mondo E Posteggiato in Discesa"
"Quinn","Mortal Prey"
"Dalan","Neige"
"Keeva","The Da Vinci Code"
"Corynne","The Stand: Complete and Uncut"
"Divante","Midnight Runner"
"Abdulahi","Misterioso. Kriminalroman."
"Kari","Apocalipsis"
"Grabiela","First Things First: To Live, to Love, to Learn, to Leave a Legacy"
"Gabriella","It\'s Not About the Bike: My Journey Back to Life"
"Meagan","E.E. Cummings: Complete Poems 1904-1962"
"Silas","A Stolen Time"
"Trevor","Secret Prey"
"Tenley","The Street Lawyer"
"Sara","Contagion"
"Milton","The Little Friend"
"Hosea","Acceptable Risk"
"Zebedee","Davita\'s Harp"
"Dola","Take Back Your Time: Fighting Overwork and Time Poverty in America"
"Alverta","Random Acts Of Management:A Dilbert Book"
"Darlean","The Power of Now: A Guide to Spiritual Enlightenment"
"James","Swan\'s Chance"
"Eman","Sphere of Influence"
"Emiliano","Falling Angels"
"John","Daisy\'s Back in Town"
"Chandra","Charming Billy"
"Durward","Mario Batali Simple Italian Food: Recipes from My Two Villages"
"Kiante","Portals in a Northern Sky"
"Tatum","Deerskin"
"John","Circle of Stars"
"John","Amarantha"
"Evelyn","Driving Over Lemons: An Optimist in Andalucia"
"Ryan","P Is for Peril"
"Kirsty","The Green Mile"
"Jameson","Cheaper by the Dozen"
"Britton","Mr. Vertigo."
"Temica","Unfit to Practice"
"Thomas","China Governess"
"Ugo","The Murder Book"
"Nina","Dorothy Parker\'s Elbow: Tattoos on Writers, Writers on Tattoos"
"Aaron","Power of Three"
"Odessia","Neither Here nor There: Travels in Europe"
"Thelma","My Utmost for His Highest: An Updated Edition in Today\'s Language"
"Shanai","Demian. Die Geschichte von Emil Sinclairs Jugend."
"Shaquia","Mr. Murder"
"Nicole","Cellar of Horror"
"Darrien","Night"
"Madeleine","Rush Limbaugh Is a Big Fat Idiot: And Other Observations"
"Dymon","Seventh Scroll"
"Darrian","Ladyfingers and Nun\'s Tummies: From Spare Ribs to Humble Pie-A Lightearted Look at How Food Got Their Names"
"Tayten","El Hobbit"
"Oren","Piercing the Darkness"
"Carolynn","Seduction by Design"
"Vernal","J Is for Judgment"
"Edrie","Ecology of a Cracker Childhood"
"Fernanda","Basket Case"
"Rosabelle","Questions from Earth, Answers from Heaven"
"Neal","The Joy Luck Club"
"Royce","In the Time of the Butterflies"
"Max","Listen Up: Voices from the Next Feminist Generation"
"Fong","A Recipe for Bees"
"Rheya","Atlantis Found"
"Robert","Second Sight"
"Davontay","An Instance of the Fingerpost"
"Louis","The House of Thunder"
"Eric","Flamingo Diner"
"Joachim","His Bright Light: The Story of Nick Traina"
"Kassandra","Une adoration"
"Jordana","The Boy Next Door"
"Dontell","Last Chapter and Worse"
"Melissa","Spadework"
"Nathaniel","The Future Homemakers of America"
"Lyndsee","The Poisonwood Bible"
"Arlette","Hell to Pay"
"Noma","Jinx High:  A Diana Tregarde Investigation"
"June","Rapture in Death"
"Maryjane","Running Out of Time"
"Micah","The Hundred Secret Senses"
"Marjorie","The Magic Circle"
"Merl","The Secret Life of Bryan"
"Alyssa","Juggling for the Complete Klutz/With Block Beanbags"
"Pancho","The Secret Life of Bees"
"Stormi","The Simple Truth"
"James","Chat. Eine ganz moderne Liebesgeschichte 1."
"Sophee","La balsa de piedra"
"Arletta","We Were the Mulvaneys"
"Elzora","October Sky: A Memoir"
"Jamar","Deja Dead"
"Ursula","Animal Dreams"
"Kymani","Anatomy of the Spirit: The Seven Stages of Power and Healing"
"Patricia","The Day After Tomorrow"
"Juanita","Shadow Prey"
"Jason","Kingdom Of Moonlight"
"Dwane","Smith of Wootton Major and Farmer Giles of Ham"
"Bette","Growing Pains of Adrian Mole"
"Sara","Dark Rivers of the Heart"
"Ginger","Ageless Body, Timeless Mind: The Quantum Alternative to Growing Old"
"Sophia","The Honk and Holler Opening Soon"
"Yeilin","Protect and Defend"
"Demarco","When the Legends Die"
"Jamilah","Kiss and Make-Up"
"Faustino","The Growing Pains of Adrian Mole"
"Beatriz","Two for the Dough"
"Emma","Last Dinner On the Titanic Menus and Recipes From the Great Liner"
"Paul","Walk Two Moons"
"Thera","The Beach House"
"Francisco","The Broke Diaries: The Completely True and Hilarious Misadventures of a Good Girl Gone Broke"
"Brooks","Lor La Merveilleuse Histoire Du General"
"Keean","The Perks of Being a Wallflower"
"Mechelle","The Summons"
"Camdyn","The Day After Tomorrow"
"Mauricia","Fever 1793"
"Jeffry","The Black Echo"
"Cristabel","The Cider House Rules"
"Loyal","Turtle Moon"
"Cohen","Lucky You"
"Timika","Notes From a Small Planet"
"Beatrice","To Cut a Long Story Short"
"Cyd","James Herriot\'s Cat Stories"
"Dwaine","Black Notice"
"Kaely","Meet Sailor Moon"
"Zane","Bridget Jones\'s Diary"
"Melony","Glory Glory"
"Zillah","The China Garden"
"Alaycia","Beach Music"
"Arren","The Whitechapel Conspiracy"
"Magdalena","The Shining"
"Alyssa","Operating Instructions: A Journal of My Son\'s First Year"
"Leonidas","Dunkle Kammern."
"Kareema","Me Talk Pretty One Day"
"Pauletta","The Attorney"
"Manuela","Weetzie Bat"
"Sabree","Silence of the Lambs"
"James","A Ghost in the House"
"Bayli","Tohuwabohu. Roman."
"Ruthie","The Pillars of the Earth"
"Jameel","Memory and Dream"
"Dodge","Dinner Homesick Rest"
"Kainoa","When God Whispers Your Name"
"Keatyn","11 Settembre. LA Ragioni Di Chi"
"Christine","Seinlanguage"
"Joelle","The Cassandra Compact: A Covert-One Novel"
"Kennedy","Black Boy"
"Dairon","Der Besuch Der Alten Dame"
"Akilah","Ride a Pale Horse"
"Preston","Blindsighted"
"James","Per Anhalter durch die Galaxis. Sammelband."
"Erwin","The Last Sin Eater"
"Makenna","Deception Point"
"Camdyn","The Pelican Brief"
"Mary","Tending Roses"
"Nils","A Love Worth Waiting For"
"Anibal","The Birth of Venus"
"Candace","Kiss of the Highlander"
"Bruce","All over but the Shoutin\'"
"Nicolas","The Intuitionist"
"Ronald","A Fatal Attachment"
"Tifani","A Confederacy of Dunces"
"Ernestine","Nightseer"
"Bruce","Friendship Cake"
"Renita","Childhood\'s End"
"Oakley","Die Jury. Roman."
"Eldin","Mexican Ghost Tales of the Southwest: Stories and Illustrations"
"Hans","Die Orks."
"Ora","The Perks of Being a Wallflower"
"Martha","Love You Forever"
"Elizabeth","In the Heart of the Sea: The Tragedy of the Whaleship Essex"
"Keagan","The Da Vinci Code"
"Robert","Bunny Trouble"
"Kirsten","The Dewey Decimal System of Love"
"Luie","The Pelican Brief"
"Gabrielle","The Color Purple"
"Alan","My Steadfast Heart"
"Maaz","Wicked: The Life and Times of the Wicked Witch of the West"
"John","Lost Light"
"Jaqwan","Temptation\'s Kiss"
"Laurel","Do Penguins Have Knees?"
"Todd","Good in Bed"
"Mark","City of Night"
"Hillis","The Honk and Holler Opening Soon"
"Sheridan","Mathemagics"
"Janet","Invitations To Seduction: 3 Novels in 1"
"Gracen","Der Verrat."
"Shaterica","The Summerhouse"
"Betty","Night Chills"
"Kevin","Two for the Dough"
"Clark","Les Thanatonautes"
"Douglas","Darkness Bound"
"Emmalyn","The Street Lawyer"
"Deven","By Any Other Name"
"Fernando","Wild Animus"
"Avneet","The Man Who Ate the 747"
"Donte","Tailchaser\'s Song"
"Damien","I Know This Much Is True"
"Burel","China Governess"
"Tomas","Anne of Green Gables: Three Volumes in One"
"Davarion","Beach House"
"Erika","The Year of the Monkey"
"Kennedee","Gap Creek: The Story Of A Marriage"
"Dezmond","The Joy Luck Club"
"Fleming","Little Girl Lost"
"Elsie","A Girl\'s Best Friend"
"Antwain","For Whom the Bell Tolls"
"Wilfredo","Polaroids from the Dead"
"Marilynn","When Elephants Weep: The Emotional Lives of Animals"
"Kayla","The Anatomist"
"Kelsey","Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time"
"Yuriel","The Wailing Wind"
"Merdith","Good in Bed"
"Corrie","Metaphysique Des Tubes"
"Timothy","Legacy of Silence"
"Lasalle","Pop Goes the Weasel"
"Archibald","Read Japanese Today"
"Neil","For Kicks"
"Shaniqua","It Was on Fire When I Lay Down on It"
"Drucilla","The Pillars of Creation"
"Cyleigh","The sound and the fury: The corrected text"
"Wanda","The Bonesetter\'s Daughter"
"Darla","Cold Sassy Tree"
"Dwayne","Say Anything: The Movie Quote Game That Takes You Back to the \'80s One Line at a Time"
"Scott","Burn Factor"
"Darrell","Girl in Hyacinth Blue"
"Marcelene","Animal Farm"
"Maheen","Lake Wobegon Days"
"Mandee","My Lurid Past"
"Lyle","The Rapture of Canaan"
"Pedro","Otherwise Engaged"
"Shirley","Dawn on a Distant Shore"
"Lakeisha","Dr. Atkins\' New Diet Revolution"
"Velia","Easter Blessings"
"Amir","Four Past Midnight"
"Mindy","Trading Spaces Behind the Scenes: Including Decorating Tips and Tricks"
"Charlotte","Sacred Sins"
"Garrell","Come the Spring"
"Melisa","Me Talk Pretty One Day"
"Sherman","Fraud: Essays"
"Marry","Parable of the Sower"
"Bobby","Cash: The Autobiography"
"Cameron","Cannery Row"
"Ludwin","Z for Zachariah"
"Jillian","The Bonesetter\'s Daughter"
"Kamyiah","Bridge Across My Sorrows"
"Bob","Succulent Wild Woman"
"Lonnie","Comes the Blind Fury"
"Emily","Seinlanguage"
"Marcella","The Cosmic Code: Quantum Physics As the Language of Nature"
"Adlee","Dangerous to Know"
"Alysson","Green Mars"
"Kenneth","Contagion"
"Maybelle","What Not to Wear"
"Eric","Truly, Madly Manhattan"
"Jarod","Total Control"
"Nicole","A Love to Die for"
"Melody","The Waking"
"Jules","The Teenage Liberation Handbook: How to Quit School and Get a Real Life and Education"
"Daniel","The Nitpicker\'s Guide for Classic Trekkers"
"Guy","Kalt Ist Der Abendhauch"
"Lorri","Little Green Men"
"Katharine","Dead Famous"
"Normand","Bird\'s-Eye View"
"Elsie","Murder Runs in the Family: A Southern Sisters Mystery"
"Trayveon","Pollen"
"Concettina","New Vegetarian: Bold and Beautiful Recipes for Every Occasion"
"Gregorio","Your Sixth Sense: Unlocking the Power of Your Intuition"
"Priest","Having Our Say: The Delany Sisters\' First 100 Years"
"Kolton","Seven Years in Tibet"
"Frank","The Outsiders"
"Callahan","3rd Rock from the Sun: A Carsey-Werner Production"
"Jeny","Notes From a Small Planet"
"John","Midnight Angel"
"Kelso","Emissary of Love: The Psychic Children Speak to the World"
"Madeleine","How to Lie With Maps"
"Kimmarie","Singing Songs"
"Braden","Treasures of Fantasy"
"Alease","The Prince of Tides"
"Odean","Simple Abundance:  A Daybook of Comfort and Joy"
"Angelina","The Journey to the East"
"Erick","The Straight Dope: A Compendium of Human Knowledge"
"Zolton","Mystic River"
"Arlene","Caligula: The Corruption of Power"
"Portia","The Colmena, La"
"Tracey","The Wish List"
"Kareem","Carter Beats the Devil"
"Abdullahi","4 Blondes"
"Chapel","Bastard Out of Carolina"
"Alexandrea","J. K. Rowling: The Wizard Behind Harry Potter"
"Michael","The Two Mrs. Grenvilles"
"Daun","Lost Boys"
"Terry","The Quiet Game"
"Daryl","Wrapt in Crystal"
"Christa","The Wasp Factory"
"Maryjane","Uppity Women of Medieval Times"
"Alesha","The Mocking Program"
"Rylyn","Breath, Eyes, Memory"
"Carlos","Hornet\'s Nest"
"Marvell","The Hunt for Red October"
"Palmina","Millstone"
"Yajaira","An Anthropologist on Mars: Seven Paradoxical Tales"
"Niko","Dead Sleep"
"Troy","Your Erroneous Zones"
"Jakim","Let Freedom Ring: Winning the War of Liberty over Liberalism"
"Alta","October 1964"
"Abigale","The Dark Half"
"Jeff","The Revenge Of The Baby-Sat"
"Aretta","Pop Goes the Weasel"
"Lydia","Jack of Kinrowan"
"Brian","Diplomatic Immunity"
